Año de recolección;__modified;__owner;fuente;servicios;superficie;pais;ciudad;v_suelo;_nomciudad;dist_cdad
2019;2019-12-01;189513;Oferta publicada;Agua y luz;Hasta 500 m2;BOLIVIA;COCHABAMBA;20;SAN BENITO;545,5695808
2019;2019-12-01;189513;Oferta publicada;Agua y luz;Hasta 500 m2;BOLIVIA;COCHABAMBA;20;SAN BENITO;416,9693872
2019;2019-12-01;189513;Oferta publicada;Agua y luz;Hasta 500 m2;BOLIVIA;COCHABAMBA;35;SAN BENITO;842,7775878
2019;2019-12-01;189513;Oferta publicada;Agua y luz;Hasta 500 m2;BOLIVIA;COCHABAMBA;15;SAN BENITO;1350,05448
2019;2019-12-01;189513;Oferta publicada;Agua y luz;Hasta 500 m2;BOLIVIA;COCHABAMBA;55;SAN BENITO;885,9872114
2019;2019-12-01;189513;Oferta publicada;Agua y luz;Hasta 500 m2;BOLIVIA;COCHABAMBA;83;SAN BENITO;1178,881491
2019;2019-12-01;189513;Oferta publicada;Agua y luz;De 500 a 2.000 m2;BOLIVIA;COCHABAMBA;15;SAN BENITO;87,64418636
2019;2019-12-01;189513;Oferta publicada;Agua y luz;De 500 a 2.000 m2;BOLIVIA;COCHABAMBA;75;SAN BENITO;498,3090508
2019;2019-12-01;189513;Oferta publicada;Agua y luz;Hasta 500 m2;BOLIVIA;COCHABAMBA;75;SAN BENITO;1481,497879
2019;2019-12-01;189513;Oferta publicada;Agua y luz;Hasta 500 m2;BOLIVIA;COCHABAMBA;15;SAN BENITO;847,4881293
2019;2019-12-01;189513;Oferta publicada;Agua y luz;Hasta 500 m2;BOLIVIA;COCHABAMBA;65;SAN BENITO;1689,732031
2019;2019-12-01;189513;Oferta publicada;Agua y luz;De 500 a 2.000 m2;BOLIVIA;COCHABAMBA;20;SAN BENITO;272,0150943
2019;2019-12-01;189513;Oferta publicada;Agua y luz;Hasta 500 m2;BOLIVIA;COCHABAMBA;90;SAN BENITO;738,2023934
2019;2019-12-01;189513;Oferta publicada;Agua y luz;Hasta 500 m2;BOLIVIA;COCHABAMBA;70;SAN BENITO;860,3078943
2019;2019-12-01;189513;Oferta publicada;Agua y luz;De 500 a 2.000 m2;BOLIVIA;COCHABAMBA;50;SAN BENITO;631,3757461
